"filename", "language", "JSON", "JavaScript", "SCSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\User\Desktop\Web Development\drum-machine\README.md", "Markdown", 0, 0, 0, 37, 0, 0, 32, 69
"c:\Users\User\Desktop\Web Development\drum-machine\package-lock.json", "JSON", 14616, 0, 0, 0, 0, 0, 1, 14617
"c:\Users\User\Desktop\Web Development\drum-machine\package.json", "JSON", 41, 0, 0, 0, 0, 0, 1, 42
"c:\Users\User\Desktop\Web Development\drum-machine\public\index.html", "HTML", 0, 0, 0, 0, 22, 0, 1, 23
"c:\Users\User\Desktop\Web Development\drum-machine\src\App.js", "JavaScript", 0, 454, 0, 0, 0, 0, 18, 472
"c:\Users\User\Desktop\Web Development\drum-machine\src\App.test.js", "JavaScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\User\Desktop\Web Development\drum-machine\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\User\Desktop\Web Development\drum-machine\src\sass\base\_base.scss", "SCSS", 0, 0, 20, 0, 0, 6, 6, 32
"c:\Users\User\Desktop\Web Development\drum-machine\src\sass\components\_button.scss", "SCSS", 0, 0, 71, 0, 0, 0, 11, 82
"c:\Users\User\Desktop\Web Development\drum-machine\src\sass\components\_slider.scss", "SCSS", 0, 0, 96, 0, 0, 2, 12, 110
"c:\Users\User\Desktop\Web Development\drum-machine\src\sass\layout\_backgrounds.scss", "SCSS", 0, 0, 18, 0, 0, 0, 3, 21
"c:\Users\User\Desktop\Web Development\drum-machine\src\sass\main.scss", "SCSS", 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\User\Desktop\Web Development\drum-machine\src\serviceWorker.js", "JavaScript", 0, 98, 0, 0, 0, 31, 13, 142
"c:\Users\User\Desktop\Web Development\drum-machine\src\setupTests.js", "JavaScript", 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 14657, 573, 209, 37, 22, 43, 108, 15649
